version,chip,arch,url,hash
11.2.0_20230119,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-11.2.0_20230119/xtensa-esp-elf-11.2.0_20230119-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
11.2.0_20230119,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-11.2.0_20230119/xtensa-esp-elf-11.2.0_20230119-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
11.2.0_20230119,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-11.2.0_20230119/xtensa-esp-elf-11.2.0_20230119-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
11.2.0_20230119,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-11.2.0_20230119/riscv32-esp-elf-11.2.0_20230119-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
11.2.0_20230119,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-11.2.0_20230119/riscv32-esp-elf-11.2.0_20230119-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
11.2.0_20230119,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-11.2.0_20230119/riscv32-esp-elf-11.2.0_20230119-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
12.2.0_20230208,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20230208/xtensa-esp-elf-12.2.0_20230208-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
12.2.0_20230208,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20230208/xtensa-esp-elf-12.2.0_20230208-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
12.2.0_20230208,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20230208/xtensa-esp-elf-12.2.0_20230208-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
12.2.0_20230208,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20230208/riscv32-esp-elf-12.2.0_20230208-x86_64-linux-gnu.tar.xz,sha256-1LwW1/LDDV6vieIurLeSIb0DlDGo4fwP7xlD1x1WRmo=
12.2.0_20230208,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20230208/riscv32-esp-elf-12.2.0_20230208-aarch64-apple-darwin.tar.xz,sha256-1NNM6+grFtvvfxSKCyQZxPn+pMBFEtwag4NdIdHNYLY=
12.2.0_20230208,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20230208/riscv32-esp-elf-12.2.0_20230208-aarch64-linux-gnu.tar.xz,sha256-QUtzaqVeRz9DwC71uLC+Vu7xFJzkFflrZrgJM1piPWQ=
12.2.0_20250801,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20250801/xtensa-esp-elf-12.2.0_20250801-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
12.2.0_20250801,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20250801/xtensa-esp-elf-12.2.0_20250801-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
12.2.0_20250801,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20250801/xtensa-esp-elf-12.2.0_20250801-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
12.2.0_20250801,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20250801/riscv32-esp-elf-12.2.0_20250801-x86_64-linux-gnu.tar.xz,sha256-ZwuQrY+BgUs2Vkl0qVbAjbzO7Al3Ufm28jSGDdnxjf8=
12.2.0_20250801,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20250801/riscv32-esp-elf-12.2.0_20250801-aarch64-apple-darwin.tar.xz,sha256-EVfX5r8eBoeGYo7oqVNjoUaJidV+CU2dIi4oGLJN/bQ=
12.2.0_20250801,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-12.2.0_20250801/riscv32-esp-elf-12.2.0_20250801-aarch64-linux-gnu.tar.xz,sha256-IRFPw9Er4bMx9AZzpE8TCH1a7UZi4zDwp4zCJU4DzKU=
13.2.0_20230912,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230912/xtensa-esp-elf-13.2.0_20230912-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230912,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230912/xtensa-esp-elf-13.2.0_20230912-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230912,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230912/xtensa-esp-elf-13.2.0_20230912-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230912,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230912/riscv32-esp-elf-13.2.0_20230912-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230912,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230912/riscv32-esp-elf-13.2.0_20230912-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230912,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230912/riscv32-esp-elf-13.2.0_20230912-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230919,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230919/xtensa-esp-elf-13.2.0_20230919-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230919,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230919/xtensa-esp-elf-13.2.0_20230919-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230919,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230919/xtensa-esp-elf-13.2.0_20230919-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230919,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230919/riscv32-esp-elf-13.2.0_20230919-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230919,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230919/riscv32-esp-elf-13.2.0_20230919-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230919,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230919/riscv32-esp-elf-13.2.0_20230919-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20230928,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/xtensa-esp-elf-13.2.0_20230928-x86_64-linux-gnu.tar.xz,sha256-0Gc72RGzPvkI9tD/1gLlJ7PRVXsNQRQraiIKOqebD1o=
13.2.0_20230928,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/xtensa-esp-elf-13.2.0_20230928-aarch64-apple-darwin.tar.xz,sha256-ZbvuGj+oCPoR7L/41aAXEG5jjeiHUPuk4ceG+hLM5Aw=
13.2.0_20230928,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/xtensa-esp-elf-13.2.0_20230928-aarch64-linux-gnu.tar.xz,sha256-dW17tc/d3x6QoW7aRCX8ZWu7vlaD90VJkOv5LkRIV/0=
13.2.0_20230928,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/riscv32-esp-elf-13.2.0_20230928-x86_64-linux-gnu.tar.xz,sha256-LAzznScseHYeuEnT067RDtYMz1g98VFmy/cugaqPZik=
13.2.0_20230928,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/riscv32-esp-elf-13.2.0_20230928-aarch64-apple-darwin.tar.xz,sha256-GMUqmcPKoj2N/JI9Y86yFJceG6D87tKhtV4UxW/NCzA=
13.2.0_20230928,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/riscv32-esp-elf-13.2.0_20230928-aarch64-linux-gnu.tar.xz,sha256-diCPGpE6cRpHggKNhWiuSQJE4zylQDwtbGYjrjVq/Lw=
13.2.0_20231215,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20231215/xtensa-esp-elf-13.2.0_20231215-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20231215,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20231215/xtensa-esp-elf-13.2.0_20231215-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
